,dist_code,year,state_code,rice_irrigated_area_(1000_ha),wheat_irrigated_area_(1000_ha),kharif_sorghum_irrigated_area_(1000_ha),rabi_sorghum_irrigated_area_(1000_ha),sorghum_irrigated_area_(1000_ha),pearl_millet_irrigated_area_(1000_ha),maize_irrigated_area_(1000_ha),finger_millet_irrigated_area_(1000_ha),barley_irrigated_area_(1000_ha),chickpea_irrigated_area_(1000_ha),pigeonpea_irrigated_area_(1000_ha),minor_pulses_irrigated_area_(1000_ha),pulses_irrigated_area_(1000_ha),groundnut_irrigated_area_(1000_ha),sesamum_irrigated_area_(1000_ha),linseed_irrigated_area_(1000_ha),sugarcane_irrigated_area_(1000_ha),cotton_irrigated_area_(1000_ha),state_name_y,dist_name_y,nitrogen_share_in_npk_(percent),phosphate_share_in_npk_(percent),potash_share_in_npk_(percent),january_rainfall_(millimeters),february_rainfall_(millimeters),march_rainfall_(millimeters),april_rainfall_(millimeters),may_rainfall_(millimeters),june_rainfall_(millimeters),july_rainfall_(millimeters),august_rainfall_(millimeters),september_rainfall_(millimeters),october_rainfall_(millimeters),november_rainfall_(millimeters),december_rainfall_(millimeters),annual_rainfall_(millimeters),wheat_yield_(kg_per_ha),kharif_sorghum_yield_(kg_per_ha),rabi_sorghum_yield_(kg_per_ha),sorghum_yield_(kg_per_ha),maize_yield_(kg_per_ha),finger_millet_yield_(kg_per_ha),barley_yield_(kg_per_ha),pigeonpea_yield_(kg_per_ha),minor_pulses_yield_(kg_per_ha),sesamum_yield_(kg_per_ha),rapeseed_and_mustard_yield_(kg_per_ha),safflower_yield_(kg_per_ha),castor_yield_(kg_per_ha),linseed_yield_(kg_per_ha),sunflower_yield_(kg_per_ha),soyabean_yield_(kg_per_ha),oilseeds_yield_(kg_per_ha),cotton_yield_(kg_per_ha),january_maximum_temperature_(centigrate),february_maximum_temperature_(centigrate),march_maximum_temperature_(centigrate),april_maximum_temperature_(centigrate),may_maximum_temperature_(centigrate),june_maximum_temperature_(centigrate),july_maximum_temperature_(centigrate),august_maximum_temperature_(centigrate),september_maximum_temperature_(centigrate),october_maximum_temperature_(centigrate),november_maximum_temperature_(centigrate),december_maximum_temperature_(centigrate),january_minimum_temperature_(centigrate),february_minimum_temperature_(centigrate),march_minimum_temperature_(centigrate),april_minimum_temperature_(centigrate),may_minimum_temperature_(centigrate),june_minimum_temperature_(centigrate),july_minimum_temperature_(centigrate),august_minimum_temperature_(centigrate),september_minimum_temperature_(centigrate),october_minimum_temperature_(centigrate),november_minimum_temperature_(centigrate),december_minimum_temperature_(centigrate)
0,1,1990,14,215.58,3.76,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Chhattisgarh,Durg,60.3,29.9,9.8,0.0,11.6,0.0,0.0,129.4,305.8,174.9,251.1,305.5,131.4,0.0,0.0,1309.7,685.08,800.0,0.0,800.0,950.0,0.0,1000.0,1031.58,349.87,157.89,574.55,0.0,0.0,181.68,0.0,778.33,233.33,0.0,28.82999992,30.70000076,33.84999847,38.77000046,39.65999985,35.29000092,29.30999947,30.11000061,30.47999954,30.37000084,29.65999985,28.14999962,14.22000027,16.68000031,19.80999947,25.23999977,26.45000076,24.88999939,23.23999977,24.11000061,23.59000015,20.71999931,16.51000023,13.52999973
1,1,1991,14,259.19,4.65,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Chhattisgarh,Durg,48.1,38.3,13.7,0.0,0.0,18.4,0.0,0.0,156.4,260.5,260.1,41.5,23.0,0.0,5.0,764.9,620.69,782.61,0.0,782.61,921.05,0.0,0.0,1041.1,499.44,142.86,576.35,500.0,0.0,261.43,250.0,657.68,300.93,0.0,27.48999977,31.90999985,35.59000015,38.43000031,42.16999817,36.27000046,30.84000015,29.67000008,31.11000061,31.09000015,28.62000084,27.18000031,13.80000019,17.45999908,21.27000046,24.51000023,29.22999954,25.70999908,24.62000084,23.67000008,24.05999947,21.47999954,15.21000004,12.72000027
2,1,1992,14,270.3,4.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Chhattisgarh,Durg,54.3,32.9,12.8,0.0,0.0,5.0,0.0,0.0,65.2,401.9,361.7,-1.0,-1.0,-1.0,0.0,923.2,365.42,909.09,0.0,909.09,1363.64,0.0,0.0,1035.09,388.52,166.67,601.27,250.0,0.0,226.16,222.22,705.88,310.57,0.0,26.95999908,29.65999985,36.04000092,39.38000107,41.77000046,37.75999832,31.68000031,29.68000031,30.42000008,31.15999985,29.68000031,27.21999931,13.05000019,15.78999996,21.34000015,24.70000076,28.17000008,26.96999931,25.42000008,23.62999916,23.37999916,21.12999916,16.03000069,12.40999985
3,1,1993,14,280.48,5.73,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Chhattisgarh,Durg,58.4,33.7,7.9,0.0,1.0,11.0,0.0,0.0,203.9,275.5,172.5,127.0,97.3,-1.0,-1.0,887.7,704.14,1000.0,1416.67,1384.62,1105.26,0.0,0.0,1086.71,428.48,166.67,504.79,250.0,0.0,208.43,304.35,887.81,389.69,0.0,28.25,30.52000046,34.43000031,38.79999924,42.13000107,38.06000137,30.95999908,30.18000031,30.5,31.42000008,29.10000038,26.84000015,14.02000046,16.29999924,19.38999939,24.69000053,28.88999939,27.70000076,24.73999977,24.32999992,23.5,21.42000008,15.52999973,12.18000031
4,1,1994,14,283.76,6.81,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Chhattisgarh,Durg,62.7,29.6,7.8,0.0,1.0,0.0,0.0,3.0,214.1,536.4,361.5,273.0,73.9,0.0,0.0,1462.9,805.48,666.67,0.0,666.67,895.83,0.0,0.0,1019.23,402.91,137.93,620.69,250.0,0.0,248.92,320.0,792.9,341.88,0.0,28.55999947,30.0,36.36999893,38.25999832,42.36000061,36.15999985,29.09000015,29.21999931,30.67000008,31.27000046,28.82999992,27.38999939,14.10000038,16.29000092,21.63999939,23.87999916,28.71999931,25.84000015,23.03000069,23.32999992,23.34000015,21.01000023,15.52999973,12.42000008
5,1,1995,14,290.5,6.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Chhattisgarh,Durg,62.7,29.6,7.8,0.0,24.8,0.0,0.0,0.0,66.7,592.8,365.0,169.1,132.2,0.0,0.0,1350.6,714.29,1000.0,0.0,1000.0,1333.33,0.0,1000.0,854.3,253.92,186.05,481.48,666.67,0.0,172.1,333.33,864.75,328.14,0.0,26.11000061,30.40999985,34.54000092,38.36999893,40.36999893,38.70999908,30.71999931,30.87000084,30.90999985,31.43000031,29.37999916,28.62999916,11.96000004,16.0,19.5,23.77000046,27.12000084,28.22999954,24.27000046,24.62999916,24.03000069,21.47999954,16.38999939,13.81999969
6,1,1996,14,285.16,6.46,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Chhattisgarh,Durg,62.7,29.6,7.8,0.0,0.0,0.0,0.0,0.0,72.5,333.8,563.0,232.5,87.9,0.0,0.0,1289.7,803.87,666.67,0.0,666.67,1281.25,0.0,0.0,976.19,443.26,155.56,500.0,500.0,0.0,273.94,333.33,688.89,422.6,0.0,28.67000008,31.13999939,36.22000122,38.81999969,42.81999969,37.68999863,30.95000076,29.77000046,31.27000046,31.03000069,29.94000053,27.62000084,14.60000038,16.18000031,21.63999939,24.25,29.06999969,26.70999908,24.35000038,23.56999969,24.32999992,20.53000069,15.63000011,12.46000004
7,1,1997,14,291.0,5.72,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Chhattisgarh,Durg,64.9,25.1,10.0,2.0,0.0,0.0,46.0,0.0,244.7,643.0,420.4,121.5,15.5,13.0,80.6,1586.7,514.04,82.64,0.0,80.65,914.29,0.0,0.0,595.04,40.02,133.33,384.62,333.33,0.0,130.92,250.0,793.83,417.56,0.0,26.77000046,29.67000008,35.36000061,36.93999863,41.36000061,37.97999954,30.85000038,30.47999954,30.87000084,31.21999931,30.77000046,28.06999969,12.19999981,15.18000031,20.81999969,22.53000069,27.53000069,27.04000092,24.32999992,24.36000061,23.72999954,20.72999954,17.28000069,14.26000023
8,1,1998,14,252.479,6.544,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Chhattisgarh,Durg,65.3,27.7,7.0,50.0,10.0,25.5,0.0,26.0,237.5,263.5,198.5,366.0,52.0,84.5,0.0,1313.5,621.62,1000.0,0.0,1000.0,1012.65,0.0,0.0,946.67,357.18,175.37,473.57,250.0,0.0,201.06,0.0,465.2,313.25,0.0,27.81999969,30.71999931,34.59000015,39.06000137,42.81000137,38.86000061,31.12999916,30.86000061,31.39999962,32.04999924,30.03000069,27.39999962,14.28999996,16.64999962,19.73999977,25.03000069,29.25,27.76000023,24.53000069,24.90999985,24.15999985,22.02000046,17.04000092,12.47000027
9,1,1999,14,300.583,7.397,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Chhattisgarh,Durg,62.9,25.9,11.2,0.0,0.0,0.0,0.0,31.8,284.0,326.1,547.4,434.2,142.5,0.0,0.0,1766.0,0.0,0.0,0.0,0.0,1307.44,280.0,0.0,1017.27,429.46,219.59,825.82,323.14,0.0,253.15,710.18,703.61,332.25,0.0,27.02000046,31.77000046,36.15999985,40.52000046,41.52999878,36.47000122,30.87000084,29.76000023,30.31999969,31.48999977,30.23999977,27.61000061,12.14000034,16.78000069,20.87999916,26.37000084,28.01000023,25.69000053,24.22999954,23.81999969,23.23999977,21.45999908,15.97000027,12.68000031
